"Basin","Region","Site","Reference","Latitude","Longitude","RSL","Age","RSL_err","Age_err"
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.39982692,1703,-0.303157849,84
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.49576629,1662,-0.244911958,92
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.600647533,1634,-0.278690729,89.5
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.28642109,1608,-0.271446413,84
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.616635787,1583,-0.279191286,79
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.403635355,1551,-0.25014433,74
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.744422091,1525.95,-0.300383553,72.05
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.39343954,1506,-0.218865163,76
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.925442605,1494.975,-0.256881742,72.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.006998631,1482,-0.226574026,70
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.94539382,1468.975,-0.258894364,68.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.660302442,1461,-0.402937621,63
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.799340192,1453,-0.259579929,56
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.897868327,1444,-0.308326813,49.5
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.986492879,1431,-0.254400227,45
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.839994226,1408,-0.267723514,46.5
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.08749942,1360,-0.253350277,68.5
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.02760625,1325.975,-0.306951178,82.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.789763818,1305.975,-0.374010605,82.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.799244381,1285.975,-0.323012997,80.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.673898123,1266,-0.062666331,79.5
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.154719313,1249.975,-0.295099701,75.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-1.137124889,1234.975,-0.261663496,69.025
