Basin,Region,Site,Reference,Longitude,Latitude,Age,RSL,Age_err,RSL_err
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1249.975,-1.154719313,75.025,-0.295099701
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1234.975,-1.137124889,69.025,-0.261663496
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1218,-1.161495297,67,-0.327782424
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1196.975,-0.603073499,69.025,-0.128235062
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1157,-1.174194875,77,-0.337121439
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1041.9,-0.846135229,138.1,-0.222452264
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,986.975,-1.166083182,148.025,-0.363760683
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,943.95,-1.289220926,145.05,-0.237702883
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,908,-1.275086878,135,-0.317145112
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,875,-1.39276596,127,-0.211202059
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,845.975,-1.320817495,114.025,-0.296749864
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,787.975,-1.435719088,104.525,-0.254623882
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,732,-1.407256345,113,-0.232737514
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,703,-1.388987984,112,-0.314879261
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,674.975,-1.306846042,111.025,-0.265829057
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,654.975,-0.886816802,98.025,-0.264495876
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,633.975,-1.364334451,81.025,-0.256427558
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,597.975,-0.874400252,66.025,-0.160529231
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,567,-1.108616992,77,-0.286144572
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,545.975,-0.916291664,85.025,-0.229410772
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,516.925,-1.408811812,99.075,-0.283060906
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,499.975,-1.231807838,104.025,-0.327575572
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,480,-1.388931003,111,-0.283305739
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,466.975,-1.145588348,112.025,-0.176923368
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,440.975,-1.110654676,114.525,-0.219642743
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,394.975,-1.221190535,134.025,-0.299069502
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,367.925,-0.962276512,139.075,-0.173974453
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,340.975,-1.150760632,143.025,-0.253686043
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,298.975,-1.05810961,166.025,-0.185089706
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,272.925,-1.16264845,172.075,-0.138001073
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,2006.7,0,0.9,0.15
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,2002.6,-0.02,2.1,0.13
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1999,-0.01,2.5,0.14
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1995.5,-0.08,2.9,0.15
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1991.9,-0.05,3.1,0.14
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1988.1,-0.08,3.5,0.16
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1984.1,-0.07,3.7,0.13
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1979.5,-0.09,4.1,0.16
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1974.4,-0.06,4.4,0.14
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1968.7,-0.11,5,0.19
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1962.5,-0.06,5.8,0.16
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1956,-0.12,7,0.13
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1949.3,-0.12,8.3,0.13
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1942.2,-0.15,9.5,0.14
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1934.8,-0.16,10.7,0.15
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1927,-0.18,12,0.12
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1919,-0.2,12.9,0.16
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1911,-0.21,13.7,0.11
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1902.9,-0.16,14.8,0.12
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1894.9,-0.21,15.9,0.13
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1887,-0.22,16.9,0.15
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1878.9,-0.2,17.7,0.13
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1870.9,-0.23,18.2,0.15
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1862.7,-0.27,18.6,0.19
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1854.5,-0.26,18.9,0.15
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1846.3,-0.28,19.2,0.15
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1838.1,-0.31,19.4,0.18
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1830,-0.3,19.7,0.17
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1822.1,-0.3,20,0.12
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1814,-0.3,20.3,0.15
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1806,-0.31,20.3,0.13
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,2005.5,0,1.6,0.19
North Atlantic,Ireland,Bull Island,Roseby et al (In progress),-6.144,53.3705,1999.8,0.03,3.3,0.18
